Strategy,SAD_Mean,SAD_Std,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Dice_Mean,Dice_Std,IoU_Mean,IoU_Std
Fixed Threshold,3.8674290974934897,1.1583561724541696,986.1944198608398,295.38082397581326,18.344915048566506,1.1934488176989826,0.47490517658206904,0.21272439086780648,0.33197904948341755,0.16688222328916497
EM / GMM,17.966219584147137,38.98423674452437,4581.3859939575195,9940.980369853714,15.726684170051136,4.901576601688832,0.40765395414166833,0.18088922696218673,0.269013990476307,0.1295127835706454
Otsu,33.29629262288412,46.99726690654636,8490.55461883545,11984.303061169321,14.41117985715364,7.5417920881965355,0.4301461705495481,0.3068104124377469,0.3139499094452555,0.23038630756043524
