Frame,Strategy,SAD,MSE,PSNR,Dice,IoU
211,Fixed Threshold,6.367607116699219,1623.7398147583008,16.02563920979676,0.0645898828236639,0.03337271116361488
211,Otsu,108.37675094604492,27636.071491241455,3.7160405338625013,0.014000619496437895,0.007049659548679191
211,EM / GMM,121.86389923095703,31075.294303894043,3.206651104745195,0.012843949947993823,0.006463483302007249
221,Fixed Threshold,3.0515098571777344,778.1350135803223,19.220254032539163,0.19954069915794842,0.11082766439909295
221,Otsu,107.01295852661133,27288.30442428589,3.771038095165738,0.015305985445887524,0.007712012700016236
221,EM / GMM,2.2188377380371094,565.8036231994629,20.60414636675013,0.2434494195688225,0.13859516616314194
231,Fixed Threshold,3.9542198181152344,1008.3260536193848,18.094793720215744,0.4014136356943012,0.251105379513633
231,Otsu,66.28887176513672,16903.662300109863,5.850995530342431,0.04530680862986831,0.023178475696285998
231,EM / GMM,4.74700927734375,1210.4873657226562,17.30120099948951,0.36771184244622956,0.22527385299253846
241,Fixed Threshold,2.622528076171875,668.7446594238281,19.878200340883794,0.551264980026631,0.38051470588235287
241,Otsu,1.9824600219726562,505.52730560302734,21.093357422812538,0.6083781706379707,0.4371720519193592
241,EM / GMM,4.121532440185547,1050.9907722473145,17.914814579506718,0.4483791173024345,0.28897466017788215
251,Fixed Threshold,3.1147384643554688,794.2583084106445,19.131185943683807,0.5806705081194342,0.4091160730762133
251,Otsu,3.123493194580078,796.4907646179199,19.11899616385159,0.5799869195552648,0.4084377302873986
251,EM / GMM,5.685710906982422,1449.8562812805176,16.517554064538025,0.44654862228955583,0.2874558088504205
261,Fixed Threshold,4.581642150878906,1168.318748474121,17.455190148227654,0.5507439908431895,0.38001842832697114
261,Otsu,3.2149314880371094,819.8075294494629,18.993684581300023,0.6202458922210731,0.4495336442371751
261,EM / GMM,5.670146942138672,1445.8874702453613,16.529458666322164,0.5032807839795482,0.33625597813709857
271,Fixed Threshold,3.4026718139648438,867.6813125610352,18.747201168090037,0.653937475267115,0.4858150815816551
271,Otsu,2.821941375732422,719.5950508117676,19.559921931489974,0.683193185541116,0.5188256758998174
271,EM / GMM,5.1166534423828125,1304.7466278076172,16.975541777979224,0.5653610973392826,0.39407902315401444
281,Fixed Threshold,3.1604576110839844,805.916690826416,19.06790210606679,0.6894178376828218,0.5260393873085338
281,Otsu,2.78594970703125,710.4171752929688,19.615669083158433,0.7092976045473,0.5495438817238124
281,EM / GMM,5.1322174072265625,1308.7154388427734,16.96235135077334,0.58948023653906,0.4179170344218887
291,Fixed Threshold,4.551486968994141,1160.6291770935059,17.48386876759481,0.5825675796235167,0.4110020140986908
291,Otsu,4.059276580810547,1035.1155281066895,17.98091537239953,0.5956003488710145,0.42409605299475567
291,EM / GMM,7.1399688720703125,1820.6920623779297,15.528438620355908,0.491830517862088,0.3261109070877708
