Variable,Pearson r,Pearson p-value,Spearman rho,Spearman p-value
AudioSet Quality (%),0.08093957805564145,0.5763176656359685,0.10728546521619615,0.4583422043229092
log10(AudioSet Videos),-0.18054653757295105,0.2095849368323317,-0.06644593741882407,0.6466167612512027
