Prompt Strategy,Top-1 Accuracy (%)
Class Only (Baseline),83.05
Environmental Sound,81.85
This Is Sound,83.1
Sound Of,83.75
Sound Of A,84.9
Heard Sound,85.1
A Class,87.0
Recording Sound,87.55
Sound Clip,87.6
Audio Recording,91.15
